2025-12-03 02:29:48 status half-installed libsepol2:amd64 3.9-2
2025-12-03 02:29:48 status unpacked libsepol2:amd64 3.9-2
2025-12-03 02:29:48 install libsmartcols1:amd64 <none> 2.41.2-4
2025-12-03 02:29:48 status half-installed libsmartcols1:amd64 2.41.2-4
2025-12-03 02:29:48 status unpacked libsmartcols1:amd64 2.41.2-4
2025-12-03 02:29:48 install libssl3t64:amd64 <none> 3.5.4-1
2025-12-03 02:29:48 status half-installed libssl3t64:amd64 3.5.4-1
2025-12-03 02:29:48 status unpacked libssl3t64:amd64 3.5.4-1
2025-12-03 02:29:48 install libstdc++6:amd64 <none> 15.2.0-7
2025-12-03 02:29:48 status half-installed libstdc++6:amd64 15.2.0-7
2025-12-03 02:29:48 status unpacked libstdc++6:amd64 15.2.0-7
2025-12-03 02:29:48 install libsystemd0:amd64 <none> 259~rc1-1
2025-12-03 02:29:48 status half-installed libsystemd0:amd64 259~rc1-1
2025-12-03 02:29:48 status unpacked libsystemd0:amd64 259~rc1-1
2025-12-03 02:29:48 install libtinfo6:amd64 <none> 6.5+20250216-2
2025-12-03 02:29:48 status half-installed libtinfo6:amd64 6.5+20250216-2
2025-12-03 02:29:48 status unpacked libtinfo6:amd64 6.5+20250216-2
2025-12-03 02:29:48 install libudev1:amd64 <none> 259~rc1-1
2025-12-03 02:29:48 status half-installed libudev1:amd64 259~rc1-1
2025-12-03 02:29:48 status unpacked libudev1:amd64 259~rc1-1
2025-12-03 02:29:48 install libuuid1:amd64 <none> 2.41.2-4
2025-12-03 02:29:48 status half-installed libuuid1:amd64 2.41.2-4
2025-12-03 02:29:48 status unpacked libuuid1:amd64 2.41.2-4
2025-12-03 02:29:48 install libxxhash0:amd64 <none> 0.8.3-2
2025-12-03 02:29:48 status half-installed libxxhash0:amd64 0.8.3-2
2025-12-03 02:29:48 status unpacked libxxhash0:amd64 0.8.3-2
2025-12-03 02:29:48 install libzstd1:amd64 <none> 1.5.7+dfsg-2
2025-12-03 02:29:48 status half-installed libzstd1:amd64 1.5.7+dfsg-2
2025-12-03 02:29:48 status unpacked libzstd1:amd64 1.5.7+dfsg-2
2025-12-03 02:29:48 install login:amd64 <none> 1:4.16.0-2+really2.41.2-4
2025-12-03 02:29:48 status half-installed login:amd64 1:4.16.0-2+really2.41.2-4
2025-12-03 02:29:48 status unpacked login:amd64 1:4.16.0-2+really2.41.2-4
2025-12-03 02:29:48 install login.defs:all <none> 1:4.18.0-2
2025-12-03 02:29:48 status half-installed login.defs:all 1:4.18.0-2
2025-12-03 02:29:48 status unpacked login.defs:all 1:4.18.0-2
2025-12-03 02:29:48 upgrade mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2025-12-03 02:29:48 status half-configured mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:48 status unpacked mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:48 status half-installed mawk:amd64 1.3.4.20250131-1
